uid,from_uid,D_target Size,Dropout,L2-Regularization,Model Vulnerability
0,,2500,0,0,0.92
1,,2500,0,0.001,0.66
2,,2500,0,0.01,0.28
3,,2500,0,0.1,0.04
4,,2500,0.1,0,0.52
5,,2500,0.1,0.001,0.59
6,,2500,0.1,0.01,0.17
7,,2500,0.1,0.1,0.02
8,,2500,0.15,0,0.55
9,,2500,0.15,0.001,0.42
10,,2500,0.15,0.01,0.15
11,,2500,0.15,0.1,0.02
12,,2500,0.2,0,0.28
13,,2500,0.2,0.001,0.54
14,,2500,0.2,0.01,0.21
15,,2500,0.2,0.1,0.01
16,,2500,0.33,0,0.21
17,,2500,0.33,0.001,0.19
18,,2500,0.33,0.01,0.16
19,,2500,0.33,0.1,0
20,,5000,0,0,0.86
21,,5000,0,0.001,0.65
22,,5000,0,0.01,0.22
23,,5000,0,0.1,0.01
24,,5000,0.1,0,0.79
25,,5000,0.1,0.001,0.52
26,,5000,0.1,0.01,0.13
27,,5000,0.1,0.1,0.01
28,,5000,0.15,0,0.44
29,,5000,0.15,0.001,0.37
30,,5000,0.15,0.01,0.1
31,,5000,0.15,0.1,0.02
32,,5000,0.2,0,0.44
33,,5000,0.2,0.001,0.32
34,,5000,0.2,0.01,0.1
35,,5000,0.2,0.1,-0.01
36,,5000,0.33,0,0.15
37,,5000,0.33,0.001,0.21
38,,5000,0.33,0.01,0.07
39,,5000,0.33,0.1,0.02
40,,7500,0,0,0.74
41,,7500,0,0.001,0.54
42,,7500,0,0.01,0.16
43,,7500,0,0.1,0.02
44,,7500,0.1,0,0.57
45,,7500,0.1,0.001,0.46
46,,7500,0.1,0.01,0.1
47,,7500,0.1,0.1,0
48,,7500,0.15,0,0.41
49,,7500,0.15,0.001,0.44
50,,7500,0.15,0.01,0.09
51,,7500,0.15,0.1,0.02
52,,7500,0.2,0,0.29
53,,7500,0.2,0.001,0.33
54,,7500,0.2,0.01,0.07
55,,7500,0.2,0.1,0.01
56,,7500,0.33,0,0.11
57,,7500,0.33,0.001,0.1
58,,7500,0.33,0.01,0.05
59,,7500,0.33,0.1,-0.01