uid,from_uid,D_target Size,Dropout,L2-Regularization,Precision
0,,2500,0,0,0.7200983755731798
1,,2500,0,0.001,0.6642854021234399
2,,2500,0,0.01,0.5446051838456902
3,,2500,0,0.1,0.25
4,,2500,0.1,0,0.5924758301807482
5,,2500,0.1,0.001,0.6191071964768291
6,,2500,0.1,0.01,0.5470809792843692
7,,2500,0.1,0.1,0.25
8,,2500,0.15,0,0.5944575675705224
9,,2500,0.15,0.001,0.5721292434916712
10,,2500,0.15,0.01,0.5244211094179142
11,,2500,0.15,0.1,0.25
12,,2500,0.2,0,0.5432601973520481
13,,2500,0.2,0.001,0.5974487314322686
14,,2500,0.2,0.01,0.5528158199624982
15,,2500,0.2,0.1,0.25
16,,2500,0.33,0,0.5276814638590808
17,,2500,0.33,0.001,0.5258100847040053
18,,2500,0.33,0.01,0.5275866074280571
19,,2500,0.33,0.1,0.25
20,,5000,0,0,0.6992985043832501
21,,5000,0,0.001,0.6730701487756925
22,,5000,0,0.01,0.5431542852004486
23,,5000,0,0.1,0.416641659164416
24,,5000,0.1,0,0.6709090080441173
25,,5000,0.1,0.001,0.6123969482413758
26,,5000,0.1,0.01,0.5250731386335912
27,,5000,0.1,0.1,0.25
28,,5000,0.15,0,0.5815370102761721
29,,5000,0.15,0.001,0.5713602231628797
30,,5000,0.15,0.01,0.5218971039806898
31,,5000,0.15,0.1,0.25
32,,5000,0.2,0,0.5661829378103465
33,,5000,0.2,0.001,0.5576572344174888
34,,5000,0.2,0.01,0.5195427008012508
35,,5000,0.2,0.1,0.25
36,,5000,0.33,0,0.5220200271234616
37,,5000,0.33,0.001,0.5352367417147779
38,,5000,0.33,0.01,0.5027335765204001
39,,5000,0.33,0.1,0.25
40,,7500,0,0,0.6545122802391211
41,,7500,0,0.001,0.6436202161637392
42,,7500,0,0.01,0.5265013828421568
43,,7500,0,0.1,0.5053306798393689
44,,7500,0.1,0,0.6004552102266313
45,,7500,0.1,0.001,0.6048243506864334
46,,7500,0.1,0.01,0.5239416651289082
47,,7500,0.1,0.1,0.25
48,,7500,0.15,0,0.5731362054733847
49,,7500,0.15,0.001,0.5871641406271966
50,,7500,0.15,0.01,0.5194019507486525
51,,7500,0.15,0.1,0.24996666222162955
52,,7500,0.2,0,0.5459689273555346
53,,7500,0.2,0.001,0.5607522946487102
54,,7500,0.2,0.01,0.5211217341092798
55,,7500,0.2,0.1,0.5
56,,7500,0.33,0,0.5128795991889803
57,,7500,0.33,0.001,0.516595700964425
58,,7500,0.33,0.01,0.5091862940869096
59,,7500,0.33,0.1,0.25