uid,from_uid,D_target Size,Dropout,L2-Regularization,Recall
0,,2500,0,0,0.7096
1,,2500,0,0.001,0.6642
2,,2500,0,0.01,0.5296
3,,2500,0,0.1,0.5
4,,2500,0.1,0,0.588
5,,2500,0.1,0.001,0.619
6,,2500,0.1,0.01,0.5196
7,,2500,0.1,0.1,0.5
8,,2500,0.15,0,0.5940000000000001
9,,2500,0.15,0.001,0.5686
10,,2500,0.15,0.01,0.5124
11,,2500,0.15,0.1,0.5
12,,2500,0.2,0,0.5356
13,,2500,0.2,0.001,0.5962000000000001
14,,2500,0.2,0.01,0.5238
15,,2500,0.2,0.1,0.5
16,,2500,0.33,0,0.5224
17,,2500,0.33,0.001,0.5176
18,,2500,0.33,0.01,0.5114
19,,2500,0.33,0.1,0.5
20,,5000,0,0,0.6816
21,,5000,0,0.001,0.6628000000000001
22,,5000,0,0.01,0.5344
23,,5000,0,0.1,0.4999
24,,5000,0.1,0,0.6599
25,,5000,0.1,0.001,0.6121000000000001
26,,5000,0.1,0.01,0.5174
27,,5000,0.1,0.1,0.5
28,,5000,0.15,0,0.5806
29,,5000,0.15,0.001,0.5704
30,,5000,0.15,0.01,0.5129
31,,5000,0.15,0.1,0.5
32,,5000,0.2,0,0.5661
33,,5000,0.2,0.001,0.5550999999999999
34,,5000,0.2,0.01,0.5075000000000001
35,,5000,0.2,0.1,0.5
36,,5000,0.33,0,0.5169
37,,5000,0.33,0.001,0.5297999999999999
38,,5000,0.33,0.01,0.5009
39,,5000,0.33,0.1,0.5
40,,7500,0,0,0.6453333333333333
41,,7500,0,0.001,0.6388
42,,7500,0,0.01,0.5213333333333333
43,,7500,0,0.1,0.5002666666666666
44,,7500,0.1,0,0.5994666666666666
45,,7500,0.1,0.001,0.6047333333333333
46,,7500,0.1,0.01,0.5165333333333333
47,,7500,0.1,0.1,0.5
48,,7500,0.15,0,0.5731333333333333
49,,7500,0.15,0.001,0.5871333333333333
50,,7500,0.15,0.01,0.5127333333333333
51,,7500,0.15,0.1,0.4998666666666667
52,,7500,0.2,0,0.5452
53,,7500,0.2,0.001,0.5598
54,,7500,0.2,0.01,0.5124666666666666
55,,7500,0.2,0.1,0.5
56,,7500,0.33,0,0.5108666666666667
57,,7500,0.33,0.001,0.5124666666666666
58,,7500,0.33,0.01,0.5034666666666667
59,,7500,0.33,0.1,0.5